arm,player_id,name,serve,return,serve_variance,return_variance
ordinary,105227,Marin Cilic,0.30292626202805045,0.3804044167355626,0.004472357898729638,0.004380326772575647
ordinary,105238,Alexandr Dolgopolov,0.3254718017999836,0.23647813423236685,0.00714083915135349,0.006542361749183334
ordinary,105270,Maxime Teixeira,-0.13720135231679415,0.052072646920702875,0.07748425590717811,0.09476600398156554
ordinary,105286,Greg Jones,0.0032167630526795943,0.1140527285615477,0.04956145357373709,0.06775626585773853
ordinary,105318,Thomas Schoorel,0.0977702553710474,-0.02865261555933215,0.09910414971167791,0.10218282851171456
ordinary,105332,Benoit Paire,-0.07072175678061696,0.257135354147328,0.008547658614963333,0.009460999525237181
ordinary,105373,Martin Klizan,0.16202107387308556,0.2534904984743992,0.012288608940516213,0.013548646867063602
ordinary,105385,Donald Young,-0.06289203095146073,0.18967577364281388,0.008974255862058094,0.009673839855461518
ordinary,105449,Steve Johnson,0.2675649630340029,-0.1485028436477892,0.019537586547061253,0.025432467013348038
ordinary,105453,Kei Nishikori,0.19102035009861895,0.3054219110033309,0.007432349308160601,0.007189525709490156
ordinary,105558,Guillaume Rufin,0.023169316112721286,-0.15390131777820412,0.011848473626729117,0.01705143192474387
ordinary,105575,Ricardas Berankis,-0.08011519138008483,0.27851158817864274,0.14755110709445599,0.15283306053585216
ordinary,105614,Bradley Klahn,0.043433851355994146,0.15654004136680771,0.0211848037632404,0.024282085372905944
ordinary,105649,Cedrik Marcel Stebe,-0.18969826109067228,0.2021160760339596,0.024114542063253926,0.028917955719872122
ordinary,105668,Jerzy Janowicz,0.39774531409198904,0.17781113269243817,0.04582501030725927,0.04940297006941119
ordinary,105676,David Goffin,0.2844693080568157,0.21970925631163502,0.008101558699557174,0.008746149302241938
ordinary,105683,Milos Raonic,0.472002004197298,0.044165309159391465,0.006429507211357684,0.0062661343536219065
ordinary,105733,Rhyne Williams,0.2585590165508999,-0.2754103959360693,0.057261788126633184,0.0666445969695535
ordinary,105777,Grigor Dimitrov,0.0921091816414985,0.20142051225571944,0.006583735300657707,0.0072968607049696925
ordinary,105819,Guido Andreozzi,0.07166509351425777,-0.578877414698582,0.05051581252388215,0.0685963244793506
ordinary,105902,James Duckworth,0.28640173750547565,0.019734506974493637,0.0383259753660124,0.053161221794711555
ordinary,105992,Ryan Harrison,0.1962067287083674,0.18426985657020947,0.006418612542493897,0.0070799886991635
ordinary,106058,Jack Sock,0.33115469878177306,0.11449019099129919,0.014335719066765399,0.01600545830725797
ordinary,106071,Bernard Tomic,0.1523461447948815,0.15282973891977805,0.00521413865947747,0.0057628195103908006
ordinary,106093,Benjamin Mitchell,-0.12949073794630592,0.10616536559647446,0.0563759861317239,0.06594344187905576
ordinary,106244,Oliver Golding,0.11882181411447623,0.052504667144720685,0.05896569020666986,0.06558921788035066
ordinary,106261,Dennis Novikov,0.1212100543030056,0.0136093479487911,0.034138344466936754,0.033892024452307656
huber_2.5,102783,Rainer Schuettler,-0.21532792097644093,-0.10607622139078321,0.09287175831791711,0.11425782165381515
huber_2.5,102967,Marc Gicquel,-0.03710697908809207,-0.1485110029666862,0.34349777136668225,0.3431934030153877
huber_2.5,103096,Arnaud Clement,0.004436206701891942,-0.004795129433647811,0.05409458126044905,0.04794615425254144
huber_2.5,103105,Ruben Ramirez Hidalgo,-0.0168229089265243,0.04815899410041663,0.01596831895620803,0.01784207124056261
huber_2.5,103163,Tommy Haas,0.18931600896515866,0.23621016352147126,0.00943671976900239,0.009658506324899147
huber_2.5,103188,Michael Russell,-0.03453193198003246,0.16749110814862098,0.010255002562563207,0.011428014440065448
huber_2.5,103228,Marcos Daniel,-0.4679502219525225,-0.17972139475526028,0.5379108508622688,0.5287223461975707
huber_2.5,103285,Radek Stepanek,0.021117653507650068,0.20209295005126499,0.009981975184212209,0.01155506416017819
huber_2.5,103333,Ivo Karlovic,0.4869218026205743,-0.02997550567326776,0.010940555324181415,0.012936073027646013
huber_2.5,103344,Ivan Ljubicic,0.2108175491390329,0.12360696794260694,0.01392375090712154,0.015249988631272651
