,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
last_s[18],-0.3024638771664087,0.20283749810187382,-0.5993835070868113,0.01378990842812626,98.44109011323192,88.91630979168183,0.9943450214403101,0.021292898504251326,0.022698890361977513
last_s[19],0.09289841385813814,0.0732873556024062,-0.0188562726971234,0.21029555482356024,61.564192399582566,46.55625188346792,1.0444928943134117,0.008280326488335894,0.004631172309576235
last_s[20],0.056114237845337166,0.08152686025217201,-0.08894894635219433,0.17809648394827343,52.57042640495014,63.8171312032631,1.0402068680454333,0.010193318681045106,0.006391211302889574
last_s[21],-0.14304818473887304,0.20456234059631975,-0.5026096125068088,0.13539079205579602,106.46195918006701,69.38866994153796,1.004872943123563,0.020312102251046606,0.01611208508630151
last_s[22],0.09627054346394302,0.1479776349080154,-0.14350189750104542,0.3605689530010594,88.18257959759849,58.676595343576224,0.9972519671975281,0.015588471681333106,0.009996691255894743
last_s[23],0.10090937467414988,0.14780391309170537,-0.11948038848779581,0.3279807274799098,98.79931152980575,86.4607407233608,1.017480778828431,0.015158361584589795,0.009378847949567767
last_s[24],-0.007683195678122716,0.1306133764858639,-0.22061781226026755,0.2087754691903008,123.82635440124248,107.58137379821618,0.9860268888712793,0.012042617269028843,0.008152414365252639
last_s[25],0.029591165969992735,0.0947747021136832,-0.10073461066484667,0.17526143369533373,100.89481453505391,113.19544163025876,0.9884521093263251,0.00971229679750447,0.008444135433618657
last_s[26],0.10887330795358517,0.08379292151269838,-0.005427843345376197,0.25332026051833173,132.39349246670395,58.30522051234654,1.0307679950493005,0.007464557641550139,0.008453914196548373
last_s[27],0.1599408149370092,0.18477791945255004,-0.0954808836987139,0.4794464604295863,69.30968474973257,89.09242298084929,1.0042438469254642,0.022460802622170106,0.01044346695661212
last_s[28],-0.01682065457333649,0.18244054922517008,-0.2923349876386014,0.293306521130141,18.764872273042325,37.46719797842358,1.0956698357270005,0.04606351369752604,0.015309581103725652
last_s[29],-0.23582701623993066,0.18492175796460095,-0.5421970596674932,0.052809336510014515,83.49218591326071,90.31897306233589,1.017959400448184,0.020847036660642606,0.014940179348753798
last_s[30],-0.15242661117354148,0.2046343524928729,-0.5040353457128889,0.16131866072367365,82.33973580547394,87.22295266716753,0.9978363324912641,0.022277390261585515,0.015123981589725284
last_s[31],0.1817399527664971,0.10767753856389742,0.02248396126157905,0.31840930956825764,102.88100009226521,88.21713525835865,1.0124345110305533,0.010189197297022858,0.007555567489518868
last_s[32],-0.19381900797438348,0.21230036643582492,-0.5846897036270364,0.08889677236184255,118.3628320706,87.77586701060474,0.9894582005173372,0.02004722936941897,0.015626819617809165
last_s[33],-0.04910864641140443,0.0828306704080789,-0.1767467906202247,0.07544669319181523,114.01304008706076,107.86783656212896,0.9930786752769561,0.007817684244099975,0.0061933352702470985
last_s[34],0.2553081897572793,0.09181743017174834,0.11191249628027325,0.391468607603057,200.0,63.815181741908724,1.0466805117681917,0.006525180628849328,0.007320470026845878
last_s[35],0.3231028489282917,0.1404699845162966,0.10929072471962785,0.5326367844239228,103.04699209785315,63.09335778943971,1.0020082356221662,0.014070231523324535,0.015346801372465926
